,x,y,z
0,0.6352600455284119,0.9010682702064514,2.407131205472979e-07
1,0.5968324542045593,0.876011312007904,-0.011218111962080002
2,0.5707337260246277,0.8299975991249084,-0.01579710654914379
3,0.5562684535980225,0.7894030809402466,-0.019942596554756165
4,0.5421897172927856,0.7586677074432373,-0.024766001850366592
5,0.5936208367347717,0.787006676197052,-0.01672469452023506
6,0.5783683657646179,0.7334644794464111,-0.029900023713707924
7,0.569206714630127,0.7004294991493225,-0.03929247334599495
8,0.5625230669975281,0.6712625622749329,-0.04656621813774109
9,0.6174607872962952,0.7838638424873352,-0.02210078574717045
10,0.6124448180198669,0.7296398878097534,-0.03540338575839996
11,0.608063817024231,0.6966772675514221,-0.04643471539020538
12,0.6053420901298523,0.6681450605392456,-0.05406605079770088
13,0.6399347186088562,0.7936466336250305,-0.028789177536964417
14,0.6529901623725891,0.7434695959091187,-0.046899180859327316
15,0.6611936092376709,0.7105419635772705,-0.059148505330085754
16,0.6669286489486694,0.6808980107307434,-0.06700097769498825
17,0.6603255867958069,0.8162060379981995,-0.03579341992735863
18,0.6843526363372803,0.7942808866500854,-0.056120406836271286
19,0.6995167136192322,0.7791640758514404,-0.06503210961818695
20,0.7116928696632385,0.764533519744873,-0.06981093436479568
